"node_id","node_label","category","community","importance","node_role","created_dt"
469,Acct #469,Account,Hydra,0.460,Brokerage,2023-09-09
9054,Acct #9054,Account,Onyx,0.490,Crypto,2023-01-07
8585,Henry Levy,Person,Onyx,0.610,Recruiter,2023-03-10
3018,Acct #3018,Account,Specter,0.340,Crypto,2023-07-26
5832,Beacon Trading Inc,Business,Mirage,0.410,Shell Company,2024-04-17
6505,Acct #6505,Account,Tundra,0.170,Brokerage,2023-10-17
6036,Anya Garcia,Person,Tundra,0.220,Mule,2023-06-15
938,Talia Pham,Person,Tempest,0.210,Mule,2024-05-04
9319,Beacon Capital GmbH,Business,Onyx,0.430,Shell Company,2023-03-23
9523,Declan Chen,Person,Krypton,0.170,Mule,2023-07-22
3487,Raj Banerjee,Person,Vortex,0.160,Mule,2024-05-21
6974,Fatima Costa,Person,Cobalt,0.180,Mule,2023-05-05
3752,Raj Johansson,Person,Vortex,0.760,Launderer,2024-02-23
4425,Astrid Klein,Person,Cipher,0.050,Mule,2023-05-22
3956,Acct #3956,Account,Vortex,0.120,Prepaid,2023-09-02
7443,Acct #7443,Account,Cobalt,0.270,Savings,2023-12-12
6770,Cobalt Technologies Inc,Business,Tundra,0.540,Front Business,2023-03-22
1876,Diego Klein,Person,Phoenix,0.100,Mule,2023-03-16
1407,Acct #1407,Account,Tempest,0.270,Crypto,2024-02-07
4894,Acct #4894,Account,Cipher,0.220,Crypto,2023-04-22
9788,Acct #9788,Account,Krypton,0.440,Savings,2023-06-21
10461,Emily Mehta,Person,Specter,0.120,Victim,2024-05-23
9992,Acct #9992,Account,Krypton,0.400,Brokerage,2023-07-07
5363,Ethan Singh,Person,Mirage,0.100,Mule,2023-04-23
7239,Acct #7239,Account,Cobalt,0.240,Brokerage,2023-05-29
2345,Acct #2345,Account,Phoenix,0.310,Checking,2023-12-28
7912,Daniel Suzuki,Person,Orchid,0.140,Mule,2024-05-11
8381,Vertex Group AG,Business,Orchid,0.630,Shell Company,2023-03-23
4690,Acct #4690,Account,Cipher,0.480,Brokerage,2023-10-24
265,Sigrid Rossi,Person,Hydra,0.140,Mule,2023-02-26
2814,Ethan Kapoor,Person,Specter,0.100,Mule,2024-02-12
1203,Lukas Le,Person,Tempest,0.580,Forger,2024-03-31
2141,Acct #2141,Account,Phoenix,0.260,Brokerage,2023-05-28
3283,Redwood Global LLC,Business,Specter,0.680,Shell Company,2024-01-10
8850,Magnus Dubois,Person,Onyx,0.200,Mule,2024-02-09
5159,Vikram Le,Person,Mirage,0.500,Recruiter,2024-03-21
2610,Aisha Banerjee,Person,Specter,0.140,Mule,2023-03-26
7708,Tomas Nilsson,Person,Orchid,0.700,Lieutenant,2024-01-25
